task_name,task_type,priority,duration_minutes,day_of_week,best_time_slot
Product Demo,writing,medium,117,Tuesday,Morning
Daily Standup,review,medium,149,Tuesday,Evening
Product Demo,meeting,medium,71,Sunday,Morning
Database Backup,meeting,low,65,Wednesday,Afternoon
UI Testing,coding,medium,60,Monday,Morning
UI Testing,testing,low,34,Tuesday,Morning
Daily Standup,meeting,low,34,Thursday,Evening
Daily Standup,coding,medium,28,Monday,Evening
Unit Testing,planning,medium,151,Saturday,Afternoon
Database Backup,meeting,medium,78,Monday,Evening
Team Meeting,review,low,137,Wednesday,Evening
Team Meeting,planning,high,28,Friday,Evening
Daily Standup,review,high,173,Tuesday,Evening
Code Review,planning,medium,91,Saturday,Evening
Daily Standup,testing,low,139,Tuesday,Evening
Bug Fixing,meeting,medium,136,Friday,Morning
Database Backup,meeting,low,133,Sunday,Evening
UI Testing,planning,medium,134,Friday,Evening
Product Demo,testing,high,150,Monday,Morning
Sprint Planning,testing,medium,28,Tuesday,Afternoon
Product Demo,writing,medium,74,Tuesday,Afternoon
Client Call,review,low,148,Saturday,Morning
UI Testing,coding,high,151,Saturday,Morning
Product Demo,coding,medium,81,Saturday,Afternoon
Daily Standup,writing,medium,163,Monday,Morning
Design Mockup,testing,high,137,Sunday,Evening
Client Call,planning,medium,83,Friday,Morning
Product Demo,testing,low,176,Wednesday,Morning
UI Testing,review,low,136,Saturday,Afternoon
Design Mockup,coding,high,166,Monday,Evening
Design Mockup,planning,medium,132,Thursday,Morning
Code Review,review,medium,36,Wednesday,Afternoon
Code Review,testing,medium,131,Wednesday,Evening
Unit Testing,coding,high,114,Tuesday,Evening
Code Review,review,low,176,Saturday,Morning
Code Review,coding,low,50,Sunday,Morning
Unit Testing,testing,high,90,Monday,Evening
UI Testing,planning,low,32,Friday,Afternoon
Team Meeting,planning,high,29,Friday,Evening
Team Meeting,coding,high,127,Thursday,Evening
UI Testing,review,low,155,Monday,Morning
Client Call,review,medium,84,Saturday,Morning
Database Backup,review,low,118,Tuesday,Evening
UI Testing,writing,low,30,Sunday,Afternoon
Code Review,coding,high,89,Saturday,Afternoon
UI Testing,testing,high,64,Wednesday,Afternoon
Sprint Planning,writing,low,49,Tuesday,Afternoon
Database Backup,review,high,115,Sunday,Morning
Daily Standup,coding,high,163,Tuesday,Afternoon
Code Review,coding,medium,31,Wednesday,Morning
Bug Fixing,testing,medium,151,Friday,Afternoon
Bug Fixing,writing,high,105,Friday,Evening
Sprint Planning,review,low,144,Monday,Afternoon
Design Mockup,review,medium,79,Wednesday,Evening
Product Demo,testing,medium,140,Thursday,Afternoon
Unit Testing,meeting,medium,64,Monday,Evening
Client Call,writing,medium,127,Tuesday,Evening
Sprint Planning,testing,high,130,Saturday,Afternoon
Client Call,writing,medium,151,Sunday,Afternoon
Client Call,planning,low,37,Saturday,Afternoon
Team Meeting,planning,medium,41,Thursday,Evening
Product Demo,meeting,low,106,Sunday,Morning
Unit Testing,coding,medium,106,Sunday,Evening
Bug Fixing,testing,medium,75,Saturday,Morning
Unit Testing,planning,medium,42,Saturday,Evening
Code Review,writing,low,101,Friday,Afternoon
Documentation,writing,high,65,Wednesday,Morning
Team Meeting,meeting,high,58,Thursday,Afternoon
Bug Fixing,review,low,126,Sunday,Morning
Daily Standup,writing,medium,114,Sunday,Afternoon
Bug Fixing,testing,high,33,Friday,Morning
UI Testing,coding,medium,178,Monday,Afternoon
Code Review,writing,low,51,Wednesday,Morning
Design Mockup,testing,medium,154,Friday,Evening
Daily Standup,planning,low,136,Saturday,Morning
Bug Fixing,review,high,59,Thursday,Morning
Daily Standup,planning,medium,87,Wednesday,Evening
Client Call,coding,medium,96,Saturday,Afternoon
Client Call,review,high,110,Saturday,Afternoon
UI Testing,writing,low,58,Sunday,Morning
Client Call,writing,medium,122,Monday,Morning
Bug Fixing,testing,high,154,Friday,Morning
Code Review,coding,low,65,Saturday,Afternoon
UI Testing,planning,medium,39,Friday,Morning
Code Review,writing,low,104,Friday,Afternoon
Unit Testing,planning,low,86,Tuesday,Morning
Design Mockup,meeting,low,81,Wednesday,Morning
Unit Testing,testing,high,42,Thursday,Evening
Client Call,writing,high,116,Wednesday,Morning
Team Meeting,meeting,low,41,Tuesday,Afternoon
Code Review,planning,low,158,Sunday,Afternoon
Code Review,coding,medium,156,Monday,Afternoon
Design Mockup,planning,medium,173,Sunday,Morning
Unit Testing,meeting,low,27,Friday,Evening
Client Call,meeting,medium,76,Monday,Evening
Documentation,coding,medium,70,Saturday,Evening
Database Backup,planning,low,63,Thursday,Morning
Bug Fixing,meeting,high,127,Sunday,Evening
UI Testing,planning,medium,71,Thursday,Morning
Product Demo,coding,high,47,Monday,Evening
Client Call,planning,high,34,Wednesday,Afternoon
Daily Standup,coding,low,35,Saturday,Evening
Database Backup,writing,medium,115,Thursday,Afternoon
Product Demo,writing,low,55,Thursday,Morning
Product Demo,review,high,124,Sunday,Morning
Bug Fixing,testing,high,151,Sunday,Morning
Code Review,planning,low,53,Wednesday,Afternoon
Client Call,planning,low,33,Saturday,Evening
Bug Fixing,meeting,low,153,Tuesday,Morning
Client Call,writing,low,83,Monday,Morning
Database Backup,coding,low,152,Tuesday,Afternoon
Product Demo,planning,low,168,Monday,Afternoon
Daily Standup,review,low,52,Saturday,Evening
Bug Fixing,review,low,165,Saturday,Evening
Unit Testing,meeting,medium,108,Tuesday,Afternoon
Team Meeting,review,medium,122,Sunday,Morning
UI Testing,coding,medium,26,Wednesday,Afternoon
Design Mockup,planning,low,154,Tuesday,Afternoon
UI Testing,planning,medium,73,Saturday,Afternoon
UI Testing,testing,medium,133,Wednesday,Morning
UI Testing,writing,low,157,Wednesday,Evening
Unit Testing,coding,low,116,Friday,Morning
Code Review,writing,high,92,Friday,Afternoon
